selection_strategy,selection_rank,row_id,sample_name,label_numeric,primary_probability,record_category,target_region_group,paired_light_status,confidence_bin,developability_risk_bin,has_structure,cluster_id
highest_score,113,5743,C1266,1,0.881661082600369,known_neutralising,RBD,paired,high,low,False,7
highest_score,114,9979,XGv304,1,0.8812201343197242,conflict_label,RBD,paired,high,low,False,
highest_score,115,8980,PDI-243,1,0.8811576304070654,known_neutralising,RBD,paired,high,medium,False,4
highest_score,116,8571,Mendon_N1.2,1,0.8808384559649698,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,117,6675,C586,1,0.8806322220448168,known_neutralising,RBD,paired,high,low,False,1
highest_score,118,2535,ADI-75742,1,0.8806246793789294,known_neutralising,RBD,paired,high,low,False,4
highest_score,119,8818,P008_057,1,0.8797975774897516,known_neutralising,RBD,paired,high,low,False,8
highest_score,120,6208,C2033,1,0.8792385554495596,known_neutralising,RBD,paired,high,low,False,3
highest_score,121,9669,VHH-72,1,0.8792136494234937,known_neutralising,RBD,light_missing_or_single_chain,high,low,True,6
highest_score,122,6381,C2430,1,0.8792049506370304,known_neutralising,RBD,paired,high,low,False,4
highest_score,123,9547,Shiakolas_53182-9,1,0.8791568323499389,known_neutralising,RBD,paired,high,low,False,3
highest_score,124,2654,ADI-75879,1,0.8785433078465689,known_neutralising,RBD,paired,high,low,False,8
highest_score,125,9674,VHH-72.76,1,0.8782324735871588,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,126,6181,C2006,1,0.8781518763727466,known_neutralising,RBD,paired,high,low,False,3
highest_score,127,2681,BD-614,1,0.8777869376782036,known_neutralising,RBD,paired,high,low,False,4
highest_score,128,8558,Maeda_C246,1,0.87775788624683,known_neutralising,other,light_missing_or_single_chain,high,low,False,6
highest_score,129,6316,C2220,1,0.8774975786968786,known_neutralising,RBD,paired,high,low,False,4
highest_score,130,8338,KA1,1,0.8773624998416616,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,131,1341,S43,1,0.8773586644825353,known_neutralising,RBD,light_missing_or_single_chain,high,medium,True,6
highest_score,132,3198,BD57-025,1,0.876804601121996,conflict_label,RBD,paired,high,low,False,
highest_score,133,7944,eCC12.1.7,1,0.8763843676903603,known_neutralising,RBD,paired,high,low,False,7
highest_score,134,8885,P5A-1B8,1,0.876187676577221,known_neutralising,RBD,paired,high,low,True,3
highest_score,135,7938,eCC12.1.11,1,0.8761403777820627,known_neutralising,RBD,paired,high,low,False,7
highest_score,136,8339,KA1.ep1,1,0.8760334046555212,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,137,6615,C514,1,0.8759670997487072,known_neutralising,RBD,paired,high,low,False,4
highest_score,138,1185,P5-1H1,1,0.8757489277179523,known_neutralising,RBD,paired,high,low,False,1
highest_score,139,7940,eCC12.1.3,1,0.8755712465080535,conflict_label,RBD,paired,high,low,False,
highest_score,140,5476,aRBD-41,1,0.8748494964515043,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,141,2666,BD-395,1,0.8746467888352785,conflict_label,RBD,paired,high,low,False,
highest_score,142,9888,WNb-35,1,0.8743138788959608,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,143,6245,C210,1,0.8740685221040969,known_neutralising,RBD,paired,high,low,False,3
highest_score,144,8337,K7.19,1,0.8740609642059265,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,145,9160,R568-2B11,1,0.8740409481593426,known_neutralising,RBD,paired,high,low,False,1
highest_score,146,9121,R3P2-A2,1,0.8740151255170552,known_neutralising,RBD,paired,high,low,False,1
highest_score,147,9883,WNb-30,1,0.8736589951150632,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,148,1638,AZ089,1,0.8736573267393273,known_neutralising,RBD,paired,high,low,False,4
highest_score,149,2684,BD-619,1,0.8735532327401078,conflict_label,RBD,paired,high,low,False,
highest_score,150,6392,C2460,1,0.873487034746039,known_neutralising,RBD,paired,high,low,False,4
highest_score,151,2709,BD-807,1,0.8734456270468445,conflict_label,RBD,paired,high,low,False,
highest_score,152,5358,A8-1,1,0.8733153968663375,known_neutralising,RBD,paired,high,low,True,4
highest_score,153,3641,BD56-804,1,0.8731661164072391,conflict_label,RBD,paired,high,medium,False,
highest_score,154,588,ADI-62122,1,0.8731550472323572,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,155,7849,DH1125,1,0.8730190564312184,known_neutralising,RBD,paired,high,medium,False,4
highest_score,156,6268,C2139,1,0.8730114294168382,known_neutralising,RBD,paired,high,medium,False,4
highest_score,157,1482,C099,1,0.8728623640637917,known_neutralising,RBD,paired,high,low,True,1
highest_score,158,1227,Boonkrai_1D1,1,0.8727737413247222,known_neutralising,RBD,paired,high,low,True,1
highest_score,159,6212,C2037,1,0.8726576244508235,known_neutralising,RBD,paired,high,low,False,3
highest_score,160,9234,REGN10956,1,0.8723749075323564,known_neutralising,RBD,paired,high,low,False,3
highest_score,161,2627,ADI-75847,1,0.8721814059667125,known_neutralising,RBD,paired,high,low,False,7
highest_score,162,1206,P2-1G7,1,0.8721636380846991,conflict_label,RBD,paired,high,low,False,
highest_score,163,10808,BD56-1695,1,0.8720310319931195,conflict_label,RBD,paired,high,low,False,
highest_score,164,9201,RBD11,1,0.8719608768705067,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,165,8343,KC3.ep5,1,0.8704761027605489,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,166,9670,VHH-72.6,1,0.8702430544652656,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,167,6329,C2233,1,0.8700324423440657,known_neutralising,RBD,paired,high,low,False,4
highest_score,168,9205,RBD3,1,0.8697210992209625,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,169,6697,C614,1,0.869523123433798,known_neutralising,RBD,paired,high,low,False,4
highest_score,170,2675,BD-598,1,0.8694964242801193,conflict_label,RBD,paired,high,medium,False,
highest_score,171,9671,VHH-72.65,1,0.8694558946588793,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,172,6382,C2431,1,0.8694203203965658,known_neutralising,RBD,paired,high,low,False,4
highest_score,173,2363,VA014R_37,1,0.8688291050780096,known_neutralising,RBD,paired,high,low,False,8
highest_score,174,3302,BD56-089,1,0.8687331759235976,conflict_label,RBD,paired,high,low,False,
highest_score,175,1142,ADI-63406,1,0.8686124850557035,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,176,2028,COVOX-269,1,0.8685354438474218,conflict_label,RBD,paired,high,low,True,
highest_score,177,8639,Nb#6,1,0.8684690592207484,known_neutralising,RBD,light_missing_or_single_chain,high,low,True,6
highest_score,178,9727,Wang-C399,1,0.8684008651037043,known_neutralising,RBD,paired,high,low,False,3
highest_score,179,3805,23D145,1,0.8677205990085697,known_neutralising,RBD,paired,high,low,False,4
highest_score,180,2671,BD-421,1,0.8672931169012643,conflict_label,RBD,paired,high,low,False,
highest_score,181,2012,LY-CoV488,1,0.8672615135117607,conflict_label,RBD,paired,high,low,True,
highest_score,182,9978,XGv303,1,0.8672245715100224,known_neutralising,RBD,paired,high,low,False,1
highest_score,183,7192,COV2-2132,1,0.8671228355644911,known_neutralising,RBD,paired,high,low,False,4
highest_score,184,7086,CN111647077A-VHH26,1,0.8670436937981202,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,185,9197,RBD1,1,0.8665605339151294,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,186,1602,AZ052,1,0.8663655056692675,known_neutralising,RBD,paired,high,low,False,1
highest_score,187,9897,WNb-60,1,0.8663078215821266,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,188,5723,C1245,1,0.8661274638058378,known_neutralising,RBD,paired,high,low,False,3
highest_score,189,706,ADI-62878,1,0.8658988303828881,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,190,7945,eCC12.1.8,1,0.8653609708314889,known_neutralising,RBD,paired,high,low,False,7
highest_score,191,9673,VHH-72.71,1,0.8652357594014821,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,192,1262,14D2,1,0.8650982367403038,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,193,7937,eCC12.1.10,1,0.8645989838822328,known_neutralising,RBD,paired,high,low,False,7
highest_score,194,9672,VHH-72.66,1,0.8644545577423496,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,195,8087,FI-3A,1,0.8642606607182022,known_neutralising,RBD,paired,high,low,True,8
highest_score,196,1234,Hastie_2A10,1,0.8642414566721359,known_neutralising,RBD,paired,high,low,True,8
highest_score,197,5411,Ab_58G1,1,0.864174017691288,known_neutralising,RBD,paired,high,low,False,7
highest_score,198,9314,S1-RBD-16,1,0.8638752478998696,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,199,9870,WNb-15,1,0.8635651623149483,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,200,9123,R3P2-B6,1,0.8635087394269494,known_neutralising,RBD,paired,high,low,False,7
highest_score,201,9461,Sb17,1,0.8632685096908312,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,202,7382,COV2-2733,1,0.8631672313462133,known_neutralising,RBD,paired,high,low,False,7
highest_score,203,9869,WNb-14,1,0.8630736720591089,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,204,9866,WNb-10,1,0.862913699895825,known_neutralising,RBD,light_missing_or_single_chain,high,low,True,6
highest_score,205,9736,Wang-C447,1,0.8626940418774985,known_neutralising,RBD,paired,high,low,False,3
highest_score,206,9868,WNb-13,1,0.862569333778572,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,207,7056,Chan-SC31,1,0.8623393092884025,known_neutralising,RBD,paired,high,low,False,7
highest_score,208,2077,BD-236,1,0.8622129126149195,conflict_label,RBD,paired,high,low,True,
highest_score,209,7088,CN111647077A-VHH4,1,0.8620735018900717,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,210,7075,CN111647077A-VHH16,1,0.8619387184486474,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,211,2031,COVOX-222,1,0.8611586086833687,conflict_label,RBD,paired,high,low,True,
highest_score,212,5712,C1232,1,0.8606550619950195,known_neutralising,RBD,paired,high,low,False,4
highest_score,213,2079,BD-629,1,0.860620295368938,conflict_label,RBD,paired,high,low,True,
highest_score,214,9210,Re5D06,1,0.86046518631383,known_neutralising,RBD,light_missing_or_single_chain,high,low,True,6
highest_score,215,7090,CN111647077A-VHH6,1,0.8603977045877558,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,216,9207,RBD3i2,1,0.860382200303744,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,217,3804,23D142,1,0.8602861610239174,known_neutralising,RBD,paired,high,low,False,4
highest_score,218,7124,CN112062840A,1,0.8594200437986714,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,219,10797,BD56-1684,1,0.8592387689761231,conflict_label,RBD,paired,high,low,False,
highest_score,220,9465,Sb23,1,0.858988348828096,known_neutralising,RBD,light_missing_or_single_chain,high,low,True,6
highest_score,221,1307,Fischer_hRBD9,1,0.8585614029105268,conflict_label,RBD,paired,high,low,False,
highest_score,222,5478,aRBD-5,1,0.8585613582036995,conflict_label,RBD,light_missing_or_single_chain,high,medium,True,
highest_score,223,7145,CN113563463A-3FC,1,0.8585505019346418,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,224,9122,R3P2-B5,1,0.858472058160722,known_neutralising,RBD,paired,high,low,False,4
highest_score,225,6975,CAB-A17,1,0.858359478266777,known_neutralising,RBD,paired,high,low,True,4
highest_score,226,2010,P4A1,1,0.8582032573372795,conflict_label,RBD,paired,high,low,True,
highest_score,227,3516,BD56-546,1,0.8580662294547091,conflict_label,RBD,paired,high,low,False,
highest_score,228,1388,002-S13D5,0,0.8580612030922492,known_non_neutralising,RBD,paired,high,low,False,1
highest_score,229,9235,REGN10957,1,0.8577173085373833,known_neutralising,RBD,paired,high,low,False,1
highest_score,230,1260,7D1,1,0.8575812026912865,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,231,3187,BD57-013,1,0.8572885018537061,known_neutralising,RBD,paired,high,low,False,4
highest_score,232,1727,AZ347,1,0.8568503049672205,known_neutralising,RBD,paired,high,low,False,4
highest_score,233,8336,K7.13,1,0.8568291868599199,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,234,1186,P5S-2A9,1,0.8567818469859513,known_neutralising,RBD,paired,high,low,False,4
highest_score,235,7406,COV2-2813,1,0.8567276819225136,known_neutralising,RBD,paired,high,low,False,7
